y_true,prob_1_fed,client,prob_1_cent,repeat
1,0.6020408163265306,PRJEB6070,0.4,000
1,0.5918367346938775,PRJEB6070,0.59,000
0,0.5612244897959183,PRJEB6070,0.33,000
1,0.6938775510204082,PRJEB6070,0.91,000
0,0.6020408163265306,PRJEB6070,0.55,000
0,0.6224489795918368,PRJEB6070,0.52,000
1,0.5816326530612245,PRJEB6070,0.76,000
0,0.5612244897959183,PRJEB6070,0.43,000
0,0.6020408163265306,PRJEB6070,0.27,000
0,0.5612244897959183,PRJEB6070,0.37,000
1,0.5816326530612245,PRJEB6070,0.45,000
0,0.5204081632653061,PRJEB6070,0.63,000
1,0.5204081632653061,PRJEB6070,0.71,000
1,0.5510204081632653,PRJEB7774,0.41,000
1,0.6020408163265306,PRJEB7774,0.56,000
1,0.6632653061224489,PRJEB7774,0.81,000
1,0.6326530612244898,PRJEB7774,0.65,000
1,0.6632653061224489,PRJEB7774,0.86,000
1,0.6836734693877551,PRJEB7774,0.56,000
0,0.6224489795918368,PRJEB7774,0.46,000
0,0.5204081632653061,PRJEB7774,0.25,000
0,0.5102040816326531,PRJEB7774,0.36,000
0,0.4693877551020408,PRJEB7774,0.24,000
1,0.6224489795918368,PRJEB7774,0.77,000
0,0.5306122448979592,PRJEB7774,0.38,000
1,0.5816326530612245,PRJEB7774,0.57,000
0,0.5816326530612245,PRJEB7774,0.3,000
0,0.5612244897959183,PRJEB7774,0.46,000
0,0.5408163265306123,PRJEB7774,0.46,000
1,0.673469387755102,PRJEB7774,0.53,000
0,0.5102040816326531,PRJEB7774,0.56,000
1,0.5408163265306123,PRJEB7774,0.33,000
1,0.5816326530612245,PRJEB7774,0.61,000
1,0.6428571428571429,PRJEB7774,0.86,000
0,0.5612244897959183,PRJEB7774,0.44,000
0,0.6632653061224489,PRJEB7774,0.48,000
1,0.6632653061224489,PRJEB7774,0.61,000
1,0.6224489795918368,PRJEB7774,0.69,000
1,0.6020408163265306,PRJEB7774,0.72,000
1,0.6530612244897959,PRJEB7774,0.67,000
1,0.5816326530612245,PRJEB7774,0.35,000
0,0.5918367346938775,PRJEB7774,0.62,000
1,0.6428571428571429,PRJEB7774,0.76,000
1,0.6020408163265306,PRJEB7774,0.43,000
0,0.4693877551020408,PRJEB7774,0.39,000
1,0.7040816326530612,PRJNA429097,0.81,000
1,0.7346938775510204,PRJNA429097,0.81,000
0,0.3571428571428571,PRJNA429097,0.19,000
0,0.3877551020408163,PRJNA429097,0.09,000
0,0.3775510204081632,PRJNA429097,0.26,000
1,0.673469387755102,PRJNA429097,0.91,000
0,0.4387755102040816,PRJNA429097,0.17,000
0,0.4693877551020408,PRJNA429097,0.38,000
0,0.4693877551020408,PRJNA429097,0.19,000
0,0.4897959183673469,PRJNA429097,0.25,000
1,0.7244897959183674,PRJNA429097,0.91,000
1,0.7755102040816326,PRJNA429097,0.93,000
0,0.3775510204081632,PRJNA429097,0.09,000
0,0.3775510204081632,PRJNA429097,0.15,000
0,0.3061224489795918,PRJNA429097,0.2,000
1,0.7346938775510204,PRJNA429097,0.74,000
1,0.7653061224489796,PRJNA429097,0.83,000
1,0.7142857142857143,PRJNA429097,0.89,000
0,0.5612244897959183,PRJNA429097,0.36,000
1,0.6224489795918368,PRJNA429097,0.79,000
0,0.4591836734693877,PRJNA429097,0.15,000
1,0.7959183673469388,PRJNA429097,0.89,000
1,0.7040816326530612,PRJNA429097,0.82,000
1,0.6224489795918368,PRJNA429097,0.64,000
0,0.3979591836734694,PRJNA429097,0.17,000
0,0.3979591836734694,PRJNA429097,0.21,000
0,0.336734693877551,PRJNA429097,0.13,000
0,0.3979591836734694,PRJNA429097,0.27,000
1,0.7346938775510204,PRJNA429097,0.61,000
0,0.4897959183673469,PRJNA429097,0.37,000
1,0.6938775510204082,PRJNA429097,0.86,000
1,0.7244897959183674,PRJNA429097,0.85,000
1,0.7755102040816326,PRJNA429097,0.83,000
0,0.5306122448979592,PRJNA429097,0.52,000
1,0.7551020408163265,PRJNA429097,0.77,000
1,0.5714285714285714,PRJNA429097,0.66,000
1,0.6224489795918368,PRJNA429097,0.79,000
1,0.7142857142857143,PRJNA429097,0.69,000
0,0.3877551020408163,PRJNA429097,0.14,000
0,0.4795918367346938,PRJNA731589,0.24,000
1,0.7755102040816326,PRJNA731589,0.82,000
0,0.5204081632653061,PRJNA731589,0.3,000
0,0.4897959183673469,PRJNA731589,0.23,000
0,0.4897959183673469,PRJNA731589,0.14,000
0,0.4795918367346938,PRJNA731589,0.1,000
0,0.3877551020408163,PRJNA731589,0.16,000
1,0.6632653061224489,PRJNA731589,0.64,000
0,0.5102040816326531,PRJNA731589,0.27,000
1,0.8163265306122449,PRJNA731589,0.8,000
0,0.4183673469387755,PRJNA731589,0.22,000
0,0.5204081632653061,PRJNA731589,0.23,000
1,0.7448979591836735,PRJNA731589,0.75,000
1,0.7448979591836735,PRJNA731589,0.7,000
1,0.8571428571428571,PRJNA731589,0.89,000
0,0.4795918367346938,PRJNA731589,0.16,000
0,0.4591836734693877,PRJNA731589,0.24,000
1,0.7857142857142857,PRJNA731589,0.8,000
1,0.7959183673469388,PRJNA731589,0.89,000
0,0.6122448979591837,PRJNA731589,0.4,000
1,0.7551020408163265,PRJNA731589,0.82,000
0,0.4387755102040816,PRJNA731589,0.16,000
1,0.7346938775510204,PRJNA731589,0.57,000
1,0.5102040816326531,PRJNA731589,0.23,000
1,0.6224489795918368,PRJNA731589,0.46,000
1,0.6836734693877551,PRJNA731589,0.65,000
0,0.4693877551020408,PRJNA731589,0.16,000
1,0.7448979591836735,PRJNA731589,0.82,000
1,0.7755102040816326,PRJNA731589,0.74,000
1,0.7653061224489796,PRJNA731589,0.76,000
0,0.4795918367346938,PRJNA731589,0.12,000
1,0.7244897959183674,PRJNA731589,0.79,000
0,0.6020408163265306,PRJNA731589,0.39,000
0,0.5102040816326531,PRJEB10878,0.24,001
1,0.7040816326530612,PRJEB10878,0.77,001
1,0.7653061224489796,PRJEB10878,0.89,001
1,0.6836734693877551,PRJEB10878,0.69,001
1,0.7448979591836735,PRJEB10878,0.81,001
1,0.6938775510204082,PRJEB10878,0.78,001
1,0.7244897959183674,PRJEB10878,0.73,001
1,0.6428571428571429,PRJEB10878,0.71,001
0,0.6428571428571429,PRJEB10878,0.39,001
1,0.6632653061224489,PRJEB10878,0.71,001
0,0.5918367346938775,PRJEB10878,0.59,001
1,0.6428571428571429,PRJEB10878,0.83,001
0,0.6020408163265306,PRJEB10878,0.55,001
1,0.6122448979591837,PRJEB10878,0.77,001
0,0.5510204081632653,PRJEB10878,0.37,001
1,0.7755102040816326,PRJEB10878,0.81,001
1,0.7040816326530612,PRJEB10878,0.74,001
0,0.5,PRJEB10878,0.42,001
0,0.5102040816326531,PRJEB10878,0.52,001
0,0.5306122448979592,PRJEB10878,0.32,001
0,0.5612244897959183,PRJEB10878,0.51,001
0,0.5510204081632653,PRJEB10878,0.38,001
0,0.6326530612244898,PRJEB10878,0.87,001
1,0.673469387755102,PRJEB10878,0.67,001
0,0.5510204081632653,PRJEB10878,0.36,001
1,0.6530612244897959,PRJEB10878,0.72,001
0,0.5102040816326531,PRJEB6070,0.39,001
1,0.5918367346938775,PRJEB6070,0.79,001
1,0.673469387755102,PRJEB6070,0.59,001
0,0.5612244897959183,PRJEB6070,0.45,001
1,0.5204081632653061,PRJEB6070,0.42,001
0,0.6326530612244898,PRJEB6070,0.42,001
0,0.5306122448979592,PRJEB6070,0.29,001
1,0.5714285714285714,PRJEB6070,0.61,001
1,0.6020408163265306,PRJEB6070,0.8,001
1,0.5510204081632653,PRJEB6070,0.65,001
1,0.5204081632653061,PRJEB6070,0.67,001
0,0.4795918367346938,PRJEB6070,0.36,001
0,0.5714285714285714,PRJEB6070,0.27,001
0,0.5714285714285714,PRJEB6070,0.47,001
1,0.6020408163265306,PRJEB6070,0.74,001
1,0.5816326530612245,PRJEB6070,0.75,001
1,0.673469387755102,PRJEB6070,0.76,001
1,0.7040816326530612,PRJEB6070,0.72,001
0,0.5510204081632653,PRJEB6070,0.34,001
1,0.673469387755102,PRJEB6070,0.73,001
0,0.5,PRJEB6070,0.23,001
1,0.6632653061224489,PRJEB6070,0.65,001
0,0.5714285714285714,PRJEB6070,0.49,001
0,0.4795918367346938,PRJEB6070,0.5,001
0,0.4591836734693877,PRJEB6070,0.22,001
0,0.5612244897959183,PRJEB6070,0.39,001
1,0.6632653061224489,PRJEB6070,0.84,001
0,0.6020408163265306,PRJEB6070,0.42,001
1,0.6224489795918368,PRJEB6070,0.57,001
1,0.5918367346938775,PRJEB6070,0.77,001
1,0.6632653061224489,PRJEB6070,0.57,001
1,0.6020408163265306,PRJEB6070,0.78,001
0,0.6428571428571429,PRJEB6070,0.43,001
0,0.5102040816326531,PRJEB6070,0.27,001
0,0.5306122448979592,PRJEB6070,0.48,001
0,0.5918367346938775,PRJEB6070,0.51,001
1,0.6326530612244898,PRJEB6070,0.82,001
1,0.5714285714285714,PRJEB6070,0.64,001
1,0.7040816326530612,PRJEB6070,0.61,001
1,0.5816326530612245,PRJEB6070,0.46,001
1,0.6938775510204082,PRJEB7774,0.9,001
1,0.7040816326530612,PRJEB7774,0.62,001
0,0.5306122448979592,PRJEB7774,0.28,001
1,0.5306122448979592,PRJEB7774,0.74,001
1,0.5204081632653061,PRJEB7774,0.69,001
0,0.5408163265306123,PRJEB7774,0.16,001
1,0.5918367346938775,PRJEB7774,0.84,001
1,0.6632653061224489,PRJEB7774,0.53,001
0,0.4489795918367347,PRJEB7774,0.56,001
1,0.6836734693877551,PRJEB7774,0.7,001
1,0.5408163265306123,PRJEB7774,0.7,001
1,0.6326530612244898,PRJEB7774,0.58,001
0,0.5816326530612245,PRJEB7774,0.3,001
0,0.5918367346938775,PRJEB7774,0.22,001
1,0.6632653061224489,PRJEB7774,0.6,001
1,0.5816326530612245,PRJEB7774,0.56,001
0,0.5816326530612245,PRJEB7774,0.35,001
1,0.6224489795918368,PRJEB7774,0.53,001
1,0.6020408163265306,PRJEB7774,0.85,001
1,0.6326530612244898,PRJEB7774,0.65,001
0,0.5714285714285714,PRJEB7774,0.58,001
1,0.673469387755102,PRJEB7774,0.77,001
0,0.5918367346938775,PRJEB7774,0.43,001
1,0.5612244897959183,PRJEB7774,0.75,001
1,0.6224489795918368,PRJEB7774,0.61,001
1,0.6428571428571429,PRJEB7774,0.58,001
1,0.5510204081632653,PRJEB7774,0.52,001
0,0.5816326530612245,PRJEB7774,0.51,001
1,0.6326530612244898,PRJEB7774,0.65,001
1,0.6122448979591837,PRJEB7774,0.48,001
1,0.6326530612244898,PRJEB7774,0.55,001
1,0.5816326530612245,PRJEB7774,0.67,001
0,0.4693877551020408,PRJNA429097,0.36,001
0,0.4081632653061224,PRJNA429097,0.19,001
1,0.7244897959183674,PRJNA429097,0.84,001
1,0.7653061224489796,PRJNA429097,0.91,001
1,0.5816326530612245,PRJNA429097,0.66,001
0,0.3979591836734694,PRJNA429097,0.14,001
0,0.4081632653061224,PRJNA429097,0.32,001
1,0.7244897959183674,PRJNA429097,0.84,001
1,0.7346938775510204,PRJNA429097,0.91,001
0,0.4183673469387755,PRJNA429097,0.2,001
0,0.3877551020408163,PRJNA429097,0.21,001
0,0.4183673469387755,PRJNA429097,0.16,001
1,0.7959183673469388,PRJNA429097,0.86,001
1,0.6632653061224489,PRJNA429097,0.75,001
1,0.7959183673469388,PRJNA429097,0.9,001
0,0.4693877551020408,PRJNA429097,0.26,001
0,0.4489795918367347,PRJNA429097,0.49,001
1,0.6530612244897959,PRJNA429097,0.87,001
0,0.5204081632653061,PRJNA429097,0.32,001
0,0.4081632653061224,PRJNA429097,0.2,001
0,0.3979591836734694,PRJNA429097,0.28,001
1,0.7040816326530612,PRJNA429097,0.89,001
1,0.7448979591836735,PRJNA429097,0.82,001
0,0.4591836734693877,PRJNA429097,0.15,001
0,0.3877551020408163,PRJNA429097,0.22,001
1,0.673469387755102,PRJNA429097,0.7,001
1,0.6122448979591837,PRJNA429097,0.76,001
1,0.6938775510204082,PRJNA429097,0.92,001
1,0.6326530612244898,PRJNA429097,0.78,001
0,0.3877551020408163,PRJNA429097,0.31,001
0,0.5918367346938775,PRJNA429097,0.42,001
0,0.4081632653061224,PRJNA429097,0.13,001
1,0.6122448979591837,PRJNA429097,0.54,001
0,0.5204081632653061,PRJNA429097,0.38,001
1,0.7142857142857143,PRJNA429097,0.85,001
1,0.6428571428571429,PRJNA429097,0.61,001
0,0.3979591836734694,PRJNA429097,0.16,001
0,0.336734693877551,PRJNA429097,0.26,001
0,0.3979591836734694,PRJNA429097,0.08,001
1,0.7346938775510204,PRJNA731589,0.78,001
0,0.5204081632653061,PRJNA731589,0.35,001
0,0.4795918367346938,PRJNA731589,0.16,001
0,0.4387755102040816,PRJNA731589,0.18,001
0,0.4897959183673469,PRJNA731589,0.36,001
0,0.5,PRJNA731589,0.37,001
1,0.7551020408163265,PRJNA731589,0.92,001
0,0.5102040816326531,PRJNA731589,0.16,001
0,0.5,PRJNA731589,0.23,001
0,0.5306122448979592,PRJNA731589,0.26,001
1,0.6224489795918368,PRJNA731589,0.72,001
0,0.4897959183673469,PRJNA731589,0.28,001
1,0.7551020408163265,PRJNA731589,0.8,001
1,0.6224489795918368,PRJNA731589,0.74,001
1,0.6938775510204082,PRJNA731589,0.89,001
1,0.6836734693877551,PRJNA731589,0.82,001
0,0.4897959183673469,PRJNA731589,0.04,001
1,0.6632653061224489,PRJNA731589,0.81,001
1,0.6224489795918368,PRJNA731589,0.62,001
0,0.4795918367346938,PRJNA731589,0.12,001
1,0.5,PRJNA731589,0.32,001
1,0.7142857142857143,PRJNA731589,0.83,001
1,0.7040816326530612,PRJNA731589,0.89,001
0,0.4285714285714285,PRJNA731589,0.1,001
0,0.6836734693877551,PRJNA731589,0.67,001
1,0.6632653061224489,PRJNA731589,0.83,001
1,0.6326530612244898,PRJNA731589,0.65,001
0,0.5408163265306123,PRJNA731589,0.32,001
1,0.7653061224489796,PRJNA731589,0.75,001
0,0.4897959183673469,PRJNA731589,0.3,001
1,0.7244897959183674,PRJNA731589,0.83,001
0,0.6530612244897959,PRJNA731589,0.64,001
1,0.6836734693877551,PRJNA731589,0.85,001
1,0.7346938775510204,PRJEB10878,0.83,002
0,0.5612244897959183,PRJEB10878,0.3,002
1,0.6938775510204082,PRJEB10878,0.8,002
0,0.5612244897959183,PRJEB10878,0.47,002
0,0.5510204081632653,PRJEB10878,0.16,002
1,0.6632653061224489,PRJEB10878,0.81,002
1,0.7755102040816326,PRJEB10878,0.86,002
1,0.7346938775510204,PRJEB10878,0.6,002
0,0.6632653061224489,PRJEB10878,0.53,002
0,0.5306122448979592,PRJEB10878,0.31,002
1,0.6938775510204082,PRJEB10878,0.7,002
1,0.6428571428571429,PRJEB10878,0.75,002
0,0.4693877551020408,PRJEB10878,0.24,002
0,0.5510204081632653,PRJEB10878,0.38,002
0,0.5612244897959183,PRJEB10878,0.49,002
1,0.673469387755102,PRJEB10878,0.77,002
1,0.6836734693877551,PRJEB10878,0.84,002
0,0.5714285714285714,PRJEB10878,0.17,002
1,0.673469387755102,PRJEB10878,0.77,002
1,0.4897959183673469,PRJEB10878,0.55,002
1,0.6938775510204082,PRJEB10878,0.63,002
0,0.5204081632653061,PRJEB10878,0.29,002
1,0.6326530612244898,PRJEB10878,0.81,002
1,0.7040816326530612,PRJEB10878,0.74,002
0,0.6326530612244898,PRJEB10878,0.81,002
1,0.6020408163265306,PRJEB10878,0.74,002
1,0.5816326530612245,PRJEB6070,0.49,002
1,0.5510204081632653,PRJEB6070,0.65,002
1,0.5102040816326531,PRJEB6070,0.43,002
0,0.4897959183673469,PRJEB6070,0.44,002
0,0.6428571428571429,PRJEB6070,0.36,002
1,0.6938775510204082,PRJEB6070,0.72,002
1,0.6326530612244898,PRJEB6070,0.53,002
1,0.6428571428571429,PRJEB6070,0.65,002
1,0.5816326530612245,PRJEB6070,0.58,002
1,0.6020408163265306,PRJEB6070,0.63,002
0,0.6020408163265306,PRJEB6070,0.39,002
1,0.5918367346938775,PRJEB6070,0.64,002
1,0.6326530612244898,PRJEB6070,0.65,002
0,0.5,PRJEB6070,0.51,002
1,0.5816326530612245,PRJEB6070,0.48,002
0,0.5408163265306123,PRJEB6070,0.45,002
1,0.4795918367346938,PRJEB6070,0.42,002
0,0.5816326530612245,PRJEB6070,0.67,002
1,0.5306122448979592,PRJEB6070,0.5,002
1,0.5816326530612245,PRJEB6070,0.42,002
0,0.5918367346938775,PRJEB6070,0.27,002
1,0.5816326530612245,PRJEB6070,0.37,002
1,0.6122448979591837,PRJEB6070,0.65,002
0,0.5,PRJEB6070,0.21,002
1,0.6836734693877551,PRJEB6070,0.8,002
1,0.5918367346938775,PRJEB6070,0.77,002
1,0.6122448979591837,PRJEB6070,0.73,002
1,0.5,PRJEB6070,0.43,002
1,0.6632653061224489,PRJEB6070,0.83,002
0,0.4795918367346938,PRJEB6070,0.39,002
1,0.6530612244897959,PRJEB6070,0.41,002
0,0.5306122448979592,PRJEB6070,0.63,002
0,0.5306122448979592,PRJEB6070,0.47,002
1,0.6428571428571429,PRJEB6070,0.69,002
0,0.6224489795918368,PRJEB6070,0.6,002
0,0.5204081632653061,PRJEB6070,0.36,002
1,0.5816326530612245,PRJEB6070,0.63,002
0,0.5408163265306123,PRJEB6070,0.63,002
1,0.6530612244897959,PRJEB6070,0.58,002
1,0.5816326530612245,PRJEB6070,0.76,002
1,0.6020408163265306,PRJEB7774,0.57,002
0,0.6224489795918368,PRJEB7774,0.7,002
1,0.5918367346938775,PRJEB7774,0.88,002
1,0.5714285714285714,PRJEB7774,0.66,002
1,0.6326530612244898,PRJEB7774,0.79,002
1,0.5,PRJEB7774,0.63,002
0,0.6428571428571429,PRJEB7774,0.57,002
1,0.5714285714285714,PRJEB7774,0.64,002
0,0.5,PRJEB7774,0.43,002
0,0.5204081632653061,PRJEB7774,0.56,002
1,0.7040816326530612,PRJEB7774,0.75,002
1,0.6020408163265306,PRJEB7774,0.73,002
1,0.5918367346938775,PRJEB7774,0.74,002
0,0.6020408163265306,PRJEB7774,0.57,002
1,0.5612244897959183,PRJEB7774,0.85,002
0,0.5612244897959183,PRJEB7774,0.37,002
1,0.6020408163265306,PRJEB7774,0.83,002
1,0.5918367346938775,PRJEB7774,0.57,002
1,0.6326530612244898,PRJEB7774,0.65,002
0,0.5612244897959183,PRJEB7774,0.41,002
1,0.6224489795918368,PRJEB7774,0.47,002
0,0.5,PRJEB7774,0.24,002
1,0.6836734693877551,PRJEB7774,0.75,002
0,0.5,PRJEB7774,0.41,002
0,0.5306122448979592,PRJEB7774,0.4,002
0,0.4897959183673469,PRJEB7774,0.19,002
0,0.5102040816326531,PRJEB7774,0.45,002
1,0.6020408163265306,PRJEB7774,0.54,002
1,0.6326530612244898,PRJEB7774,0.44,002
0,0.5306122448979592,PRJEB7774,0.48,002
1,0.6530612244897959,PRJEB7774,0.69,002
0,0.5306122448979592,PRJEB7774,0.44,002
0,0.4285714285714285,PRJNA429097,0.18,002
1,0.7142857142857143,PRJNA429097,0.83,002
0,0.5408163265306123,PRJNA429097,0.41,002
0,0.3469387755102041,PRJNA429097,0.15,002
1,0.6836734693877551,PRJNA429097,0.63,002
0,0.3571428571428571,PRJNA429097,0.06,002
0,0.5612244897959183,PRJNA429097,0.52,002
1,0.7653061224489796,PRJNA429097,0.93,002
0,0.5408163265306123,PRJNA429097,0.45,002
0,0.3877551020408163,PRJNA429097,0.16,002
1,0.6020408163265306,PRJNA429097,0.87,002
0,0.4081632653061224,PRJNA429097,0.07,002
0,0.5102040816326531,PRJNA429097,0.3,002
0,0.4183673469387755,PRJNA429097,0.15,002
0,0.4387755102040816,PRJNA429097,0.14,002
0,0.4387755102040816,PRJNA429097,0.17,002
1,0.7244897959183674,PRJNA429097,0.9,002
0,0.4795918367346938,PRJNA429097,0.26,002
1,0.6428571428571429,PRJNA429097,0.89,002
1,0.6122448979591837,PRJNA429097,0.68,002
1,0.7142857142857143,PRJNA429097,0.78,002
0,0.4591836734693877,PRJNA429097,0.23,002
1,0.5918367346938775,PRJNA429097,0.88,002
0,0.3877551020408163,PRJNA429097,0.13,002
1,0.7040816326530612,PRJNA429097,0.85,002
0,0.5510204081632653,PRJNA429097,0.3,002
1,0.673469387755102,PRJNA429097,0.87,002
0,0.3673469387755102,PRJNA429097,0.17,002
0,0.4285714285714285,PRJNA429097,0.22,002
0,0.3163265306122449,PRJNA429097,0.13,002
0,0.3673469387755102,PRJNA429097,0.17,002
0,0.6122448979591837,PRJNA429097,0.46,002
0,0.4285714285714285,PRJNA429097,0.13,002
1,0.6938775510204082,PRJNA429097,0.79,002
0,0.3877551020408163,PRJNA429097,0.23,002
0,0.3979591836734694,PRJNA429097,0.3,002
0,0.4285714285714285,PRJNA429097,0.27,002
1,0.7040816326530612,PRJNA429097,0.82,002
1,0.7142857142857143,PRJNA429097,0.82,002
1,0.673469387755102,PRJNA731589,0.76,002
1,0.5204081632653061,PRJNA731589,0.37,002
0,0.3979591836734694,PRJNA731589,0.14,002
1,0.7142857142857143,PRJNA731589,0.89,002
0,0.5306122448979592,PRJNA731589,0.35,002
1,0.7142857142857143,PRJNA731589,0.91,002
0,0.3775510204081632,PRJNA731589,0.13,002
1,0.6632653061224489,PRJNA731589,0.64,002
0,0.5,PRJNA731589,0.36,002
1,0.7448979591836735,PRJNA731589,0.86,002
0,0.4591836734693877,PRJNA731589,0.38,002
1,0.7040816326530612,PRJNA731589,0.82,002
1,0.7551020408163265,PRJNA731589,0.88,002
0,0.5,PRJNA731589,0.19,002
1,0.6938775510204082,PRJNA731589,0.81,002
1,0.6938775510204082,PRJNA731589,0.72,002
0,0.4285714285714285,PRJNA731589,0.18,002
0,0.5408163265306123,PRJNA731589,0.4,002
1,0.7551020408163265,PRJNA731589,0.88,002
0,0.3979591836734694,PRJNA731589,0.16,002
0,0.4795918367346938,PRJNA731589,0.19,002
0,0.5306122448979592,PRJNA731589,0.29,002
1,0.6326530612244898,PRJNA731589,0.69,002
0,0.4183673469387755,PRJNA731589,0.18,002
1,0.7551020408163265,PRJNA731589,0.86,002
0,0.4489795918367347,PRJNA731589,0.16,002
1,0.7346938775510204,PRJNA731589,0.77,002
0,0.4183673469387755,PRJNA731589,0.2,002
0,0.5612244897959183,PRJNA731589,0.37,002
0,0.4183673469387755,PRJNA731589,0.2,002
0,0.4693877551020408,PRJNA731589,0.2,002
1,0.7346938775510204,PRJNA731589,0.83,002
1,0.7653061224489796,PRJNA731589,0.88,002
1,0.6632653061224489,PRJEB10878,0.66,003
1,0.6632653061224489,PRJEB10878,0.8,003
1,0.5816326530612245,PRJEB10878,0.48,003
1,0.6224489795918368,PRJEB10878,0.8,003
1,0.6938775510204082,PRJEB10878,0.75,003
0,0.5816326530612245,PRJEB10878,0.42,003
1,0.5612244897959183,PRJEB10878,0.72,003
0,0.4795918367346938,PRJEB10878,0.34,003
0,0.5204081632653061,PRJEB10878,0.31,003
1,0.6020408163265306,PRJEB10878,0.77,003
0,0.6530612244897959,PRJEB10878,0.42,003
1,0.6020408163265306,PRJEB10878,0.75,003
0,0.5918367346938775,PRJEB10878,0.33,003
0,0.5918367346938775,PRJEB10878,0.26,003
1,0.6122448979591837,PRJEB10878,0.77,003
0,0.673469387755102,PRJEB10878,0.54,003
0,0.6428571428571429,PRJEB10878,0.64,003
0,0.7040816326530612,PRJEB10878,0.59,003
0,0.4897959183673469,PRJEB10878,0.23,003
1,0.7653061224489796,PRJEB10878,0.72,003
0,0.5816326530612245,PRJEB10878,0.43,003
1,0.673469387755102,PRJEB10878,0.66,003
1,0.7551020408163265,PRJEB10878,0.8,003
1,0.6530612244897959,PRJEB10878,0.67,003
0,0.5612244897959183,PRJEB10878,0.75,003
1,0.7244897959183674,PRJEB10878,0.84,003
1,0.5204081632653061,PRJEB6070,0.66,003
0,0.6428571428571429,PRJEB6070,0.51,003
1,0.4795918367346938,PRJEB6070,0.52,003
1,0.6836734693877551,PRJEB6070,0.75,003
0,0.5306122448979592,PRJEB6070,0.44,003
1,0.6122448979591837,PRJEB6070,0.49,003
1,0.6938775510204082,PRJEB6070,0.69,003
1,0.6632653061224489,PRJEB6070,0.72,003
0,0.6836734693877551,PRJEB6070,0.46,003
0,0.5,PRJEB6070,0.49,003
0,0.6224489795918368,PRJEB6070,0.52,003
0,0.5510204081632653,PRJEB6070,0.39,003
0,0.5102040816326531,PRJEB6070,0.46,003
1,0.6530612244897959,PRJEB6070,0.49,003
0,0.5102040816326531,PRJEB6070,0.33,003
0,0.5408163265306123,PRJEB6070,0.41,003
1,0.4795918367346938,PRJEB6070,0.4,003
0,0.4591836734693877,PRJEB6070,0.33,003
1,0.6632653061224489,PRJEB6070,0.61,003
0,0.6632653061224489,PRJEB6070,0.6,003
1,0.6836734693877551,PRJEB6070,0.78,003
0,0.5,PRJEB6070,0.42,003
1,0.7448979591836735,PRJEB6070,0.87,003
0,0.5918367346938775,PRJEB6070,0.42,003
1,0.5204081632653061,PRJEB6070,0.55,003
0,0.6530612244897959,PRJEB6070,0.34,003
